id-afastamento;dtinicio;dtfim;obs;campo_chave;matricula
10;15/07/2025;17/07/2025;Atestado Médico;matricula;001452
10;14/08/2025;15/08/2025;Atestado Médico;matricula;001452
10;24/07/2025;24/07/2025;Atestado Médico;matricula;001516
10;05/05/2025;05/05/2025;Atestado Médico;matricula;001520
10;11/04/2025;11/04/2025;Atestado Médico;matricula;001591
10;28/05/2025;30/05/2025;Atestado Médico;matricula;001591
10;04/12/2025;06/12/2025;Atestado Médico;matricula;001591
10;04/05/2025;04/05/2025;Atestado Médico;matricula;001599
10;04/10/2025;04/10/2025;Atestado Médico;matricula;001614
10;27/10/2025;27/10/2025;Atestado Médico;matricula;001614
10;28/09/2025;03/10/2025;Atestado Médico;matricula;001626
10;26/12/2025;26/12/2025;Atestado Médico;matricula;001626
10;28/12/2025;28/12/2025;Atestado Médico;matricula;001626
10;13/02/2026;13/02/2026;Atestado Médico;matricula;001696
10;09/01/2026;09/01/2026;Atestado Médico;matricula;001697
10;26/01/2026;26/01/2026;Atestado Médico;matricula;001673
10;27/01/2026;28/01/2026;Atestado Médico;matricula;001673
10;03/02/2026;03/02/2026;Atestado Médico;matricula;001673
7;05/11/2023;03/03/2024;Afast. Aux. Maternidade;matricula;000296
10;11/02/2025;13/02/2025;Atestado Médico;matricula;000296
10;10/05/2025;10/05/2025;Atestado Médico;matricula;000296
10;14/05/2025;14/05/2025;Atestado Médico;matricula;000296
10;22/07/2025;23/07/2025;Atestado Médico;matricula;000296
10;24/07/2025;25/07/2025;Atestado Médico;matricula;000296
10;13/11/2025;13/11/2025;Atestado Médico;matricula;000296
10;01/12/2025;03/12/2025;Atestado Médico;matricula;000296
7;17/09/2024;14/01/2025;Afast. Aux. Maternidade;matricula;000324
10;07/06/2025;07/06/2025;Atestado Médico;matricula;000324
10;08/06/2025;08/06/2025;Atestado Médico;matricula;000324
10;22/06/2025;23/06/2025;Atestado Médico;matricula;000324
10;24/06/2025;24/06/2025;Atestado Médico;matricula;000324
10;28/06/2025;30/06/2025;Atestado Médico;matricula;000324
10;19/07/2025;20/07/2025;Atestado Médico;matricula;000324
6;04/02/2023;05/02/2023;Afast. Acid. Trabalho;matricula;001066
6;05/02/2023;20/02/2023;Afast. Acid. Trabalho;matricula;001066
10;10/04/2025;10/04/2025;Atestado Médico;matricula;001070
10;28/06/2025;29/06/2025;Atestado Médico;matricula;001070
10;30/06/2025;02/07/2025;Atestado Médico;matricula;001070
10;11/08/2025;11/08/2025;Atestado Médico;matricula;001070
10;06/10/2025;07/10/2025;Atestado Médico;matricula;001070
10;23/10/2025;23/10/2025;Atestado Médico;matricula;001070
10;01/02/2025;02/02/2025;Atestado Médico;matricula;001075
10;29/07/2025;29/07/2025;Atestado Médico;matricula;001075
10;20/10/2025;20/10/2025;Atestado Médico;matricula;001075
10;16/02/2025;18/02/2025;Atestado Médico;matricula;001240
7;05/05/2025;01/09/2025;Afast. Aux. Maternidade;matricula;001240
10;13/09/2025;13/09/2025;Atestado Médico;matricula;001240
10;15/09/2025;15/09/2025;Atestado Médico;matricula;001240
10;16/09/2025;18/09/2025;Atestado Médico;matricula;001240
10;20/06/2025;20/06/2025;Atestado Médico;matricula;001402
10;22/11/2025;23/11/2025;Atestado Médico;matricula;001402
10;28/02/2025;28/02/2025;Atestado Médico;matricula;001408
10;22/04/2025;22/04/2025;Atestado Médico;matricula;001408
10;07/07/2025;07/07/2025;Atestado Médico;matricula;001408
10;07/08/2025;07/08/2025;Atestado Médico;matricula;001408
10;10/08/2025;10/08/2025;Atestado Médico;matricula;001408
10;19/09/2025;19/09/2025;Atestado Médico;matricula;001408
10;02/09/2025;02/09/2025;Atestado Médico;matricula;001456
10;08/08/2025;08/08/2025;Atestado Médico;matricula;001526
10;14/02/2025;15/02/2025;Atestado Médico;matricula;001533
10;06/12/2025;06/12/2025;Atestado Médico;matricula;001533
10;15/12/2025;17/12/2025;Atestado Médico;matricula;001533
16;04/03/2025;08/03/2025;Licença Paternidade Legal (5 dias);matricula;001535
10;05/08/2025;06/08/2025;Atestado Médico;matricula;001603
10;13/11/2025;16/11/2025;Atestado Médico;matricula;001603
10;24/10/2025;24/10/2025;Atestado Médico;matricula;001668
10;18/11/2025;19/11/2025;Atestado Médico;matricula;001668
10;05/01/2026;06/01/2026;Atestado Médico;matricula;001669
10;07/01/2026;11/01/2026;Atestado Médico;matricula;001669
10;04/02/2026;04/02/2026;Atestado Médico;matricula;001669
10;15/02/2026;21/02/2026;Atestado Médico;matricula;001669
10;10/03/2025;15/03/2025;Atestado Médico;matricula;000163
10;27/04/2025;29/04/2025;Atestado Médico;matricula;000163
10;26/07/2025;26/07/2025;Atestado Médico;matricula;000163
10;18/09/2025;18/09/2025;Atestado Médico;matricula;000163
7;24/05/2020;21/09/2020;Afast. Aux. Maternidade;matricula;001022
6;13/03/2023;13/09/2023;Afast. Acid. Trabalho;matricula;001023
5;19/09/2018;22/12/2018;Afast. Aux. Doença;matricula;001072
10;11/08/2025;11/08/2025;Atestado Médico;matricula;001505
10;20/10/2025;20/10/2025;Atestado Médico;matricula;001505
10;07/11/2025;07/11/2025;Atestado Médico;matricula;001584
10;17/11/2025;17/11/2025;Atestado Médico;matricula;001584
10;20/10/2025;20/10/2025;Atestado Médico;matricula;001636
10;10/11/2025;10/11/2025;Atestado Médico;matricula;001636
10;10/12/2025;23/12/2025;Atestado Médico;matricula;001636
10;07/01/2026;07/01/2026;Atestado Médico;matricula;001636
5;08/01/2026;06/04/2026;Afast. Aux. Doença;matricula;001636
10;18/12/2025;18/12/2025;Atestado Médico;matricula;001444
10;29/12/2025;29/12/2025;Atestado Médico;matricula;001444
10;13/01/2026;15/01/2026;Atestado Médico;matricula;001444
10;27/01/2026;31/01/2026;Atestado Médico;matricula;001444
10;11/02/2026;15/02/2026;Atestado Médico;matricula;001444
10;21/04/2025;22/04/2025;Atestado Médico;matricula;001522
10;04/08/2025;04/08/2025;Atestado Médico;matricula;001522
10;14/08/2025;14/08/2025;Atestado Médico;matricula;001522
10;15/08/2025;16/08/2025;Atestado Médico;matricula;001522
10;28/08/2025;03/09/2025;Atestado Médico;matricula;001522
10;10/09/2025;15/09/2025;Atestado Médico;matricula;001522
10;16/09/2025;20/09/2025;Atestado Médico;matricula;001522
7;01/10/2025;28/01/2026;Afast. Aux. Maternidade;matricula;001522
10;07/11/2025;07/11/2025;Atestado Médico;matricula;001523
10;03/12/2025;03/12/2025;Atestado Médico;matricula;001523
10;08/12/2025;09/12/2025;Atestado Médico;matricula;001523
10;10/12/2025;12/12/2025;Atestado Médico;matricula;001523
10;19/12/2025;19/12/2025;Atestado Médico;matricula;001523
10;27/12/2025;30/12/2025;Atestado Médico;matricula;001523
10;24/11/2025;26/11/2025;Atestado Médico;matricula;001577
10;27/11/2025;28/11/2025;Atestado Médico;matricula;001577
10;02/06/2025;16/06/2025;Atestado Médico;matricula;001611
5;17/06/2025;30/06/2025;Afast. Aux. Doença;matricula;001611
10;03/07/2025;03/07/2025;Atestado Médico;matricula;001631
10;21/10/2025;21/10/2025;Atestado Médico;matricula;001632
10;15/12/2025;19/12/2025;Atestado Médico;matricula;001632
10;19/12/2025;21/12/2025;Atestado Médico;matricula;001632
10;06/12/2025;06/12/2025;Atestado Médico;matricula;001651
10;07/01/2026;07/01/2026;Atestado Médico;matricula;001679
10;27/10/2025;27/10/2025;Atestado Médico;matricula;999993
10;14/12/2025;15/12/2025;Atestado Médico;matricula;999993
10;16/12/2025;18/12/2025;Atestado Médico;matricula;999993
10;17/12/2025;26/12/2025;Atestado Médico;matricula;999993
